,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
49,50,18427190,241 Likely Dr,94507,Alamo,CA,37.862686,-122.01673,2998000,3,4,2953,SINGLE_FAMILY,-1,3098018,9093,1437283,0.51,acres,4,3,3," Hardwood, Tile", Forced Air, Central Air," Dishwasher, Double Oven, Disposal, Gas Range, Oven, Refrigerator, Gas Water Heater"," Laundry Room, Cabinets",2953," 2,953 sqft"," Family Room, Living Room"," Detached, Garage, RV/Boat Parking, Side Yard Access, Garage Faces Front, RV Possible, RV Storage, Garage Door Opener",1," Gas Heat, In Ground, Pool Cover, Pool/Spa Combo, Outdoor Pool"," Corner Lot, Court, Cul-De-Sac, Level, Premium Lot, Front Yard, Landscape Back, Landscape Front, Private", SingleFamily," Spanish,Traditional", Single Family Residence,,1974, Public Sewer," Public, Well", Alamo," Kitchen/Family Combo, Breakfast Bar, Counter - Solid Surface, Eat-in Kitchen, Updated Kitchen",2,3,3,3,81,A,A+,D,A+
50,51,68040114,1427 Vine Ln,94507,Alamo,CA,37.85538,-122.00375,3999999,5,5,5769,SINGLE_FAMILY,-1,3999999,14479,3000000,0.75,acres,5,5,4," Hardwood, Carpet", Zoned," Ceiling Fan(s), Zoned"," Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Trash Compactor, Dryer, Washer, Gas Water Heater"," 220 Volt Outlet, Dryer, Gas Dryer Hookup, Laundry Room, Washer, Cabinets, Sink, Upper Level",5769," 5,769 sqft"," Family Room, Insert, Gas Starter, Living Room, Other"," Attached, Int Access From Garage, Off Street, Parking Spaces, Secured, Guest, Garage Door Opener",2," Possible Pool Site, None"," Court, Level, Premium Lot, Landscape Back, Landscape Front, Pool Site", SingleFamily," Custom,Mediterranean", Single Family Residence,,2006, Public Sewer, Public, Alamo," Au Pair, In-Law Floorplan, Kitchen/Family Combo, Breakfast Bar, Breakfast Nook, Stone Counters, Kitchen Island, Pantry, Updated Kitchen, Wet Bar, Central Vacuum, Sound System",4,4,4,4,81,A,A+,D,A+
51,52,18430852,149 Alamo Springs Dr,94507,Alamo,CA,37.846478,-122.01465,4295000,6,5,6130,SINGLE_FAMILY,-1,4287600,12835,3452399,0.65,acres,5,6,5," Hardwood, Carpet", Zoned, Zoned," Dishwasher, Microwave, Free-Standing Range, Refrigerator, Tankless Water Heater", Laundry Room,6130," 6,130 sqft"," Family Room, Living Room, Other"," Attached, Int Access From Garage, Garage Door Opener",2," In Ground, Pool Cover, Pool Sweep, Pool/Spa Combo, Outdoor Pool"," Cul-De-Sac, Premium Lot, Front Yard, Landscape Back, Landscape Front, Private", SingleFamily," Contemporary,Traditional", Single Family Residence,,1999, Public Sewer, Public, Alamo," Bonus/Plus Room, Den, Kitchen/Family Combo, Media, Breakfast Bar, Breakfast Nook, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen",3,3,3,3,81,A,A+,D,A+
52,53,18431109,164 La Sonoma Way,94507,Alamo,CA,37.839333,-122.0313,2495000,2,3,1418,SINGLE_FAMILY,-1,2495022,11454,1800000,0.5,acres,3,2,2," Hardwood, Vinyl", Natural Gas, Wall/Window Unit(s), Electric Range, Hookups Only,1418," 1,418 sqft", Living Room, Attached,1, None," Level, Premium Lot", SingleFamily, Ranch, Single Family Residence,,1955, Public Sewer,, Alamo, Laminate Counters,1,2,2,2,81,A,A+,D,A+
53,54,18432594,945 Forest Ln,94507,Alamo,CA,37.8333,-122.02437,3799000,5,4,3196,SINGLE_FAMILY,-1,3772993,10517,2968200,0.43,acres,4,5,4," Hardwood, Tile"," Zoned, Radiant, Fireplace(s)", Zoned," Dishwasher, Gas Range, Microwave, Free-Standing Range, Refrigerator, Gas Water Heater, Tankless Water Heater"," Hookups Only, Laundry Room, Cabinets",3196," 3,196 sqft"," Family Room, Gas, Gas Starter, Living Room, Two-Way"," Detached, Garage, Off Street, Parking Spaces, RV/Boat Parking, Side Yard Access, Workshop in Garage, Enclosed, Garage Faces Front, Private, Side By Side, Garage Door Opener",1," In Ground, Solar Heat, Pool/Spa Combo, Solar Pool Owned, Outdoor Pool"," Level, Premium Lot, Regular, Front Yard, Landscape Back, Landscape Front, Private, Storm Drain", SingleFamily, Ranch, Single Family Residence, Shingle,1955, Public Sewer, Public, Alamo," Kitchen/Family Combo, Storage, Stone Counters, Kitchen Island, Pantry, Updated Kitchen, Smart Home",3,2,2,2,81,A,A+,D,A+
54,55,18428069,65 Toni Ct,94507,Alamo,CA,37.848217,-121.972275,2848000,3,5,3244,SINGLE_FAMILY,-1,2948012,7437,870488,0.34,acres,5,3,3, Hardwood Flrs Throughout, Zoned, Zoned," Dishwasher, Double Oven, Disposal, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Gas Water Heater"," Laundry Room, Cabinets",3244," 3,244 sqft"," Gas Starter, Living Room"," Attached, Int Access From Garage, Side Yard Access, Workshop in Garage, Boat, Garage Faces Front, Garage Door Opener",1," Gunite, In Ground, No Heat, See Remarks"," Court, Level, Front Yard, Landscape Front, Private, See Remarks", SingleFamily, Traditional, Single Family Residence, Shingle,1974, Public Sewer, Public, Alamo," Kitchen/Family Combo, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen",1,2,2,2,81,A,A+,D,A+
55,56,18421266,239 Dorchester Ln,94507,Alamo,CA,37.87829,-122.006874,7850000,7,6,9250,SINGLE_FAMILY,-1,5052600,21867,2827447,0.93,acres,6,7,7," Hardwood, Tile, Carpet"," Zoned, Natural Gas", Zoned," Dishwasher, Oven, Refrigerator", Laundry Room,9250," 9,250 sqft"," Dining Room, Family Room, Gas, Other"," Attached, Guest, Garage Door Opener",, In Ground," Premium Lot, Secluded, Private", SingleFamily, Traditional, Single Family Residence,,2000, Public Sewer, Public, Alamo," Au Pair, Bonus/Plus Room, Den, Kitchen/Family Combo, Breakfast Bar, Breakfast Nook, Stone Counters, Eat-in Kitchen, Kitchen Island, Updated Kitchen",4,4,4,4,81,A,A+,D,A+
56,57,18430671,188 Alamo Sq,94507,Alamo,CA,37.846703,-122.02772,1100000,3,3,1889,TOWNHOUSE,-1,1100006,4079,644162,1306.8,sqft,3,3,2," Carpet, Engineered Wood", Central, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Dryer, Washer"," Dryer, Washer, Upper Level",1889," 1,889 sqft", Living Room," Attached, Garage Door Opener",2," In Ground, Community"," Security Gate, Wood", Townhouse, Traditional, Townhouse, Shingle,1975, Public Sewer, Public, Alamo," Breakfast Bar, Stone Counters, Updated Kitchen",1,2,2,2,81,A,A+,D,A+
57,58,18430793,1398 Danville Blvd APT 215,94507,Alamo,CA,37.84586,-122.029205,875000,2,2,1357,CONDO,-1,888000,3495,492619,2178,sqft,2,2,2, Laminate, Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Range, Refrigerator, Self Cleaning Oven, Dryer, Washer, Electric Water Heater, ENERGY STAR Qualified Appliances"," 220 Volt Outlet, Dryer, Laundry Closet, Washer, Cabinets",1357," 1,357 sqft", Gas Starter," Detached, Garage Door Opener",2," In Ground, Pool/Spa Combo, Community", No Lot, Condo, Traditional, Condominium, Shingle,1989,, Public, Alamo," Breakfast Bar, Breakfast Nook, Stone Counters",1,2,1,1,81,A,A+,D,A+
58,59,18427547,71 Incline Green Ln,94507,Alamo,CA,37.86496,-121.99792,3547999,5,3,3465,SINGLE_FAMILY,-1,3548014,8562,1819369,0.619835,acres,3,5,4," Hardwood, Tile, Carpet"," Zoned, Natural Gas, Fireplace(s)"," Ceiling Fan(s), Zoned"," Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Dryer, Washer, Gas Water Heater"," 220 Volt Outlet, Dryer, Gas Dryer Hookup, Laundry Room, Washer, Cabinets, Sink",3465," 3,465 sqft"," Gas Starter, Living Room, Raised Hearth, Stone, Two-Way"," Attached, Int Access From Garage, Off Street, Side Yard Access, Guest, Electric Vehicle Charging Station(s), Garage Faces Front, Garage Door Opener",2, None," Corner Lot, Sloped Down, Level, Premium Lot, Landscape Back, Landscape Front, Paved, Pool Site", SingleFamily, Contemporary, Single Family Residence,,1991, Public Sewer, Public, Alamo," Dining Area, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Wet Bar, Central Vacuum",2,3,3,3,81,A,A+,D,A+
59,60,18427157,2537 Rolling Hills Ct,94507,Alamo,CA,37.858685,-122.00188,2988000,3,4,4101,SINGLE_FAMILY,-1,2988012,8719,1009031,0.46,acres,4,3,3," Linoleum, Parquet, Carpet", Forced Air," Ceiling Fan(s), Central Air"," Dishwasher, Disposal, Gas Range, Grill Built-in, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Trash Compactor, Gas Water Heater"," 220 Volt Outlet, Laundry Room",4101," 4,101 sqft"," Brick, Family Room, Living Room, Raised Hearth, Stone"," Attached, Int Access From Garage, Enclosed, Garage Door Opener",2, None," Sloped Down, Secluded, Front Yard, Landscape Back, Landscape Front, Private", SingleFamily, Tudor, Single Family Residence,,1977, Public Sewer, Public, Alamo," Bonus/Plus Room, Kitchen/Family Combo, Breakfast Nook, Counter - Solid Surface, Stone Counters, Eat-in Kitchen, Pantry, Updated Kitchen, Smart Thermostat",2,2,2,2,81,A,A+,D,A+
60,61,18427639,150 Sugar Creek Ln,94507,Alamo,CA,37.863415,-121.99257,3288000,6,5,5323,SINGLE_FAMILY,-1,3288003,9746,2209163,2.8,acres,5,6,5," Hardwood, Carpet", Zoned, Zoned," Dishwasher, Double Oven, Gas Water Heater", Laundry Room,5323," 5,323 sqft"," Family Room, Gas, Living Room"," Attached, Int Access From Garage, Garage Door Opener",," Gas Heat, Gunite, In Ground, Pool/Spa Combo"," Cul-De-Sac, Sloped Down, Level", SingleFamily, Mediterranean, Single Family Residence,,1989, Public Sewer, Public, Alamo," Au Pair, Breakfast Bar, Breakfast Nook, Stone Counters",3,3,3,3,81,A,A+,D,A+
61,62,18427379,2418 Alamo Glen Dr,94507,Alamo,CA,37.848198,-121.99594,3900000,5,5,6240,SINGLE_FAMILY,-1,3849100,12534,3007523,0.58,acres,5,5,5," Hardwood, Tile, Carpet", Central, Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Refrigerator, Gas Water Heater", Laundry Room,6240," 6,240 sqft"," Family Room, Living Room, Other"," Attached, Garage Door Opener",2," In Ground, Pool/Spa Combo, Outdoor Pool"," Premium Lot, Secluded, Security Gate", SingleFamily," Craftsman,Custom", Single Family Residence, Shingle,1979, Public Sewer, Public, Alamo," Bonus/Plus Room, Stone Counters, Kitchen Island, Updated Kitchen",2,3,3,3,81,A,A+,D,A+
62,63,18426731,3132 Roundhill Rd,94507,Alamo,CA,37.857914,-122.01104,2998000,4,4,3908,SINGLE_FAMILY,-1,2998011,8601,1928911,0.37,acres,4,4,3, Hardwood," Zoned, Fireplace(s)", Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Refrigerator, Gas Water Heater"," Gas Dryer Hookup, Laundry Room",3908," 3,908 sqft"," Family Room, Gas, Living Room"," Attached, Garage Door Opener",1," Gunite, Solar Heat, Pool/Spa Combo, Fenced, Solar Pool Owned, Outdoor Pool"," Close to Clubhouse, Front Yard, Landscape Back, Landscape Front", SingleFamily, Contemporary, Single Family Residence, Shingle,1968, Public Sewer,, Alamo," Bonus/Plus Room, Kitchen/Family Combo, Breakfast Bar, Counter - Solid Surface, Eat-in Kitchen, Pantry",3,3,3,3,81,A,A+,D,A+
63,64,18421806,39 Crest Ave,94507,Alamo,CA,37.880825,-122.05191,1618000,2,4,1663,SINGLE_FAMILY,-1,1618014,4762,622764,0.468319559,acres,4,2,2," Tile, Wood"," Central, Gas",," Dishwasher, Free-Standing Gas Oven, Free-Standing Gas Range, Free-Standing Refrigerator, Gas Cooktop",,1663," 1,663 sqft"," Family Room, Wood Burning"," Attached, Covered, Garage Door Opener, Uncovered Parking Spaces 2+, Side by Side, On Site (Single Family Only), Driveway",," In Ground, See Remarks"," Landscaped, Landscape Front, Low Maintenance", SingleFamily,, Single Family Residence," Shingle,Tar/Gravel",1977, Public Sewer, Public, Alamo, Formal Entry,1,2,,1,81,A,A+,D,A+
64,65,18430858,529 Justin Morgan Dr,94507,Alamo,CA,37.849304,-122.007,3749000,5,6,4160,SINGLE_FAMILY,-1,3757600,10442,2485000,0.42,acres,6,5,4," Carpet, Hardwood", Zoned, Zoned," Dishwasher, Double Oven, Gas Range, Refrigerator, Gas Water Heater", Laundry Room,4160," 4,160 sqft"," Family Room, Living Room"," Attached, Int Access From Garage, Side Yard Access, Garage Door Opener",2," In Ground, Solar Heat, Pool/Spa Combo, Solar Pool Owned, Outdoor Pool"," Court, Cul-De-Sac, Level, Premium Lot, Sloped Up, Front Yard, Landscape Back, Landscape Front, Private, Security Gate, Street Light(s)", SingleFamily, Traditional, Single Family Residence, Shingle,1999, Public Sewer, Public, Alamo," Kitchen/Family Combo, Breakfast Bar, Breakfast Nook, Stone Counters, Kitchen Island, Pantry, Updated Kitchen",2,3,3,3,81,A,A+,D,A+
65,66,15549528,1502 Pine Knoll Dr,94002,Belmont,CA,37.521,-122.288895,3000000,3,4,2220,SINGLE_FAMILY,-1,3481100,7827,3525000,0.475206612,acres,4,3,3," Stone, Wood", Central, Ceiling Fan(s)," Dishwasher, Double Oven, Free-Standing Refrigerator, Gas Cooktop, Dryer, Washer", Hookups Only,2220," 2,220 sqft",," Detached, Side by Side, On Site (Single Family Only)",,,, SingleFamily, Contemporary, Single Family Residence," Composition,Shingle",1940, Public Sewer, Public, Belmont,,,2,,,79,B+,A,C-,A
66,67,15547879,2047 Monroe Ave,94002,Belmont,CA,37.522755,-122.30028,1595000,2,3,1280,SINGLE_FAMILY,-1,1640800,4784,114085,4900.5,sqft,3,2,2,, Central Forced Air - Gas, None,, In Garage,1280," 1,280 sqft", Living Room, Attached,1,,, SingleFamily,," Residential, Single Family Residence", Composition,1953, Public Sewer, Public, Belmont,,1,2,2,2,79,B+,A,C-,A
67,68,15548321,903 Ruth Ave,94002,Belmont,CA,37.52754,-122.289,1998000,2,3,1450,SINGLE_FAMILY,-1,2013255,4749,753948,5501.628,sqft,3,2,2," Hardwood, Tile", Forced Air, Whole House / Attic Fan," Disposal, Range Hood, Oven Range - Gas, Refrigerator, Washer/Dryer", In Garage,1450," 1,450 sqft", Family Room, Attached,1,,, SingleFamily,," Residential, Single Family Residence", Composition,1947, Public Sewer, Public, Belmont,,1,3,1,1,79,B+,A,C-,A
68,69,15551006,1134 Continentals Way,94002,Belmont,CA,37.51169,-122.303604,1388000,3,3,1590,TOWNHOUSE,-1,1552500,4949,1447470,2400.156,sqft,3,3,2," Carpet, Laminate", Central Forced Air - Gas, Central Air," Gas Cooktop, Exhaust Fan, Range Hood, Double Oven, Refrigerator", In Garage,1590," 1,590 sqft"," Gas Starter, Living Room, Wood Burning"," Attached, Carport, Off Street",2, Community,, Townhouse,," Residential, Townhouse", Composition,1977, Public Sewer, Public, Belmont," High Ceilings, Vaulted Ceiling(s), Wet Bar",1,1,1,2,79,B+,A,C-,A
69,70,119690119,2102 Cipriani Blvd,94002,Belmont,CA,37.522,-122.30114,2088000,2,3,2280,SINGLE_FAMILY,-1,2164200,5799,1083810,6490.44,sqft,3,2,2," Carpet, Hardwood, Tile", Central Forced Air - Gas, None," Dishwasher, Exhaust Fan, Oven Range - Gas, Refrigerator, Washer/Dryer"," Inside, Tub / Sink",2280," 2,280 sqft"," Family Room, Free Standing, Living Room, Wood Burning"," Attached, Garage Door Opener",1,,, SingleFamily, Contemporary," Residential, Single Family Residence"," Asphalt,Composition",1965,, Public, Belmont,,2,2,2,2,79,B+,A,C-,A
70,71,15545760,3322 Plateau Dr,94002,Belmont,CA,37.515343,-122.31552,2488000,3,6,2240,SINGLE_FAMILY,-1,2569272,5998,238475,10288.872,sqft,6,3,3," Carpet, Hardwood, Vinyl / Linoleum", Central Forced Air - Gas, Central Air," Electric Cooktop, Dishwasher, Disposal, Oven Range - Electric, Refrigerator, Trash Compactor, Washer/Dryer", In Garage,2240," 2,240 sqft"," Family Room, Gas, Living Room, Wood Burning"," Attached, Off Street",2,, Views, SingleFamily, Traditional," Residential, Single Family Residence", Composition,1966, Public Sewer, Public, Belmont, Wet Bar,2,2,2,2,79,B+,A,C-,A
71,72,15551272,36 Elder Dr,94002,Belmont,CA,37.50673,-122.30796,3480000,3,4,2500,SINGLE_FAMILY,-1,3522700,7500,1445184,0.2571,acres,4,3,2," Carpet, Hardwood, Tile", Forced Air, None," Electric Cooktop, Dishwasher, Disposal, Electric Oven, Refrigerator, Washer/Dryer",,2500," 2,500 sqft"," Family Room, Gas Log", Attached,2,," Low Maintenance, City Lot", SingleFamily, Ranch," Residential, Single Family Residence", Shingle,1974, Public Sewer," Irrigation Connected, Public", Belmont, Vaulted Ceiling(s),1,3,3,3,79,B+,A,C-,A
72,73,15547263,2411 Buena Vista Ave,94002,Belmont,CA,37.517326,-122.3029,2398000,2,4,2220,SINGLE_FAMILY,-1,2475663,4772,134194,8398.368,sqft,4,2,2," Carpet, Tile, Other", Central Forced Air, None," Electric Cooktop, Dishwasher, Disposal, Refrigerator, Trash Compactor, Dryer, Washer", In Garage,2220," 2,220 sqft"," Family Room, Gas, Living Room, Wood Burning"," Attached, Workshop in Garage",2,," Grade - Mostly Level, City Lot", SingleFamily,," Residential, Single Family Residence", Composition,1938,, Individual Water Meter, Belmont,,2,1,1,1,79,B+,A,C-,A
73,74,15547544,2009 Monroe Ave,94002,Belmont,CA,37.524082,-122.2975,2698828,3,5,2410,SINGLE_FAMILY,-1,2767600,6428,193713,3998.808,sqft,5,3,3, Other, Central Forced Air, None, Tankless Water Heater,,2410," 2,410 sqft", Living Room, Attached,2,, City Lot, SingleFamily, Contemporary," Residential, Single Family Residence", Composition,1962,, Public, Belmont,,1,2,2,2,79,B+,A,C-,A
74,75,15547751,1702 Valley View Ave,94002,Belmont,CA,37.52131,-122.291695,2588000,4,3,2490,SINGLE_FAMILY,-1,2640837,6299,564238,9400.248,sqft,3,4,3," Hardwood, Tile", Central Forced Air - Gas, Central Air," Dishwasher, Exhaust Fan, Range Hood, Oven Range - Gas", Electricity Hookup (110V),2490," 2,490 sqft"," Family Room, Living Room"," Attached, Off Street",,," Grade - Hillside, Low Maintenance", SingleFamily, Contemporary," Residential, Single Family Residence", Composition,1978, Public Sewer, Public, Belmont," High Ceilings, Beamed Ceilings, Vaulted Ceiling(s), Wet Bar",2,2,2,2,79,B+,A,C-,A
75,76,15549888,1915 Valdez Ave,94002,Belmont,CA,37.508526,-122.289,2898000,2,4,2220,SINGLE_FAMILY,-1,2957142,6498,250700,7832.088,sqft,4,2,2," Carpet, Laminate", Central Forced Air - Gas, Central Air," Dishwasher, Disposal, Microwave, Self Cleaning Oven, Oven Range - Gas, Refrigerator, Dryer, Washer"," In Garage, Tub / Sink",2220," 2,220 sqft"," Living Room, Wood Burning", Attached,1,," Level, Pie Shaped, Sprinklers - Lawn, City Lot", SingleFamily, Ranch," Residential, Single Family Residence", Composition,1955, Public Sewer, Public, Belmont," Walk-In Closet(s), Thermostat Controller",1,2,2,2,79,B+,A,C-,A
76,77,15629623,300 Davey Glen Rd APT 3925,94002,Belmont,CA,37.525642,-122.287,899000,2,2,1056,CONDO,-1,897580,3343,303875,1306.8,sqft,2,2,2," Parquet, Vinyl"," Baseboard, Individual Rm Controls", None," Dishwasher, Electric Range, Disposal, Microwave, Refrigerator"," Dryer, Laundry Room, Washer, Community Facility, Coin Operated",1056," 1,056 sqft", None," Attached, Carport - 2 Or More, Garage, Space Per Unit - 2, Guest, Below Building Parking, Remote, Garage Door Opener",1," In Ground, Pool/Spa Combo, Community"," Close to Clubhouse, Premium Lot", Condo, Traditional, Condominium,,1965, Public Sewer, Public, Belmont," Elevator, Penthouse Location, Dining Area, Breakfast Bar, Stone Counters",,2,,2,79,B+,A,C-,A
77,78,15551258,2884 Wakefield Dr,94002,Belmont,CA,37.505836,-122.308266,3895000,3,4,2220,SINGLE_FAMILY,-1,3895300,9309,1034092,0.3983,acres,4,3,2," Hardwood, Tile", Central Forced Air - Gas, None," Dishwasher, Disposal, Refrigerator, Washer/Dryer"," Electricity Hookup (220V), In Utility Room, Inside",2220," 2,220 sqft"," Family Room, Living Room, Wood Burning"," Attached, Off Street",2,,, SingleFamily,," Residential, Single Family Residence", Tile,1976, Public Sewer, Public, Belmont," High Ceilings, Vaulted Ceiling(s)",2,2,2,2,79,B+,A,C-,A
78,79,15540525,1100 Irwin St,94002,Belmont,CA,37.522877,-122.27133,1748888,1,3,1190,SINGLE_FAMILY,-1,1843122,4194,881358,4965.84,sqft,3,1,1," Hardwood, Other"," Wall Furnace, Other", None," Dishwasher, Microwave", In Garage,1190," 1,190 sqft", Wood Burning, Detached,,," Low Maintenance, City Lot", SingleFamily," Ranch,Traditional"," Residential, Single Family Residence", Other,1947,, Public, Belmont, Audio / Video Prewired,1,1,1,1,79,B+,A,C-,A
79,80,15548536,509 Vannier Dr,94002,Belmont,CA,37.522747,-122.28466,2975000,4,4,2680,SINGLE_FAMILY,-1,3022743,6404,1372980,7701.408,sqft,4,4,3, Hardwood, Forced Air, None," Dishwasher, Disposal, Oven, Self Cleaning Oven, Oven Range - Built-In, Refrigerator", In Utility Room,2680," 2,680 sqft"," Family Room, Living Room, Wood Burning", Attached,2, In Ground, City Lot, SingleFamily, Contemporary," Residential, Single Family Residence", Composition,1964, Public Sewer, Public, Belmont,,2,2,2,2,79,B+,A,C-,A
80,81,15546979,14 Meadow Park Cir,94002,Belmont,CA,37.5063,-122.32063,2188000,3,3,2110,SINGLE_FAMILY,-1,2229800,5000,1003498,2269.476,sqft,3,3,2," Carpet, Hardwood, Tile", Central Forced Air - Gas, None," Electric Cooktop, Dishwasher, Microwave, Refrigerator, Washer/Dryer", In Garage,2110," 2,110 sqft", Living Room," Attached, Guest",2, Community,, SingleFamily,," Residential, Single Family Residence", Other,1970, Public Sewer, Public, Belmont, Vaulted Ceiling(s),1,3,3,3,79,B+,A,C-,A
81,82,15541236,348 Treasure Island Dr,94002,Belmont,CA,37.5336,-122.26939,1525000,4,3,1880,TOWNHOUSE,-1,1530100,5029,1245776,1285.02,sqft,3,4,3,, Central Forced Air - Gas, None," Disposal, Microwave, Refrigerator, Dryer, Washer"," In Utility Room, Upper Floor",1880," 1,880 sqft", Gas," Assigned, Guest",,, Low Maintenance, Townhouse,," Residential, Townhouse", Shingle,1990, Public Sewer, Public, Belmont, High Ceilings,1,1,1,1,79,B+,A,C-,A
82,83,15540161,535 Cambridge St,94002,Belmont,CA,37.52519,-122.27808,1848000,2,3,1087,SINGLE_FAMILY,-1,1878500,4355,1174919,5100.876,sqft,3,2,2,, Central Forced Air, Central Air," Disposal, Microwave, Oven Range - Gas, Refrigerator, Washer/Dryer",,1087," 1,087 sqft", Living Room," Attached, Covered, Electric Vehicle Charging Station(s), Garage Door Opener, Electric Vehicle Hookup Level 2 (240 volts)",1,, City Lot, SingleFamily,," Residential, Single Family Residence", Shingle,1953, Public Sewer, Public, Belmont,,1,2,2,2,79,B+,A,C-,A
